Modelo,Color,Site,Attacked,Predator,Certainty
1,Red,Los Catios,No,None,NA
2,Red,Los Catios,No,None,NA
3,Red,Los Catios,No,None,NA
4,Red,Los Catios,No,None,NA
5,Red,Los Catios,No,None,NA
6,Red,Los Catios,No,None,NA
7,Red,Los Catios,No,None,NA
8,Red,Los Catios,No,None,NA
9,Red,Los Catios,No,None,NA
10,Red,Los Catios,No,None,NA
11,Red,Los Catios,No,None,NA
12,Red,Los Catios,No,None,NA
13,Red,Los Catios,No,None,NA
14,Red,Los Catios,No,None,NA
15,Red,Los Catios,No,None,NA
16,Red,Los Catios,No,None,NA
17,Red,Los Catios,No,None,NA
18,Red,Los Catios,No,None,NA
19,Red,Los Catios,No,None,NA
20,Red,Los Catios,No,None,NA
21,Red,Los Catios,No,None,NA
22,Red,Los Catios,No,None,NA
23,Red,Los Catios,No,None,NA
24,Red,Los Catios,No,None,NA
25,Red,Los Catios,No,None,NA
26,Red,Los Catios,No,None,NA
27,Red,Los Catios,No,None,NA
28,Red,Los Catios,No,None,NA
29,Red,Los Catios,No,None,NA
30,Red,Los Catios,No,None,NA
31,Red,Los Catios,No,None,NA
32,Red,Los Catios,No,None,NA
33,Red,Los Catios,No,None,NA
34,Red,Los Catios,No,None,NA
35,Red,Los Catios,No,None,NA
36,Red,Los Catios,No,None,NA
37,Red,Los Catios,No,None,NA
38,Red,Los Catios,No,None,NA
39,Red,Los Catios,No,None,NA
40,Red,Los Catios,No,None,NA
41,Red,Los Catios,No,None,NA
42,Red,Los Catios,No,None,NA
43,Red,Los Catios,No,None,NA
44,Red,Los Catios,No,None,NA
45,Red,Los Catios,No,None,NA
46,Red,Los Catios,No,None,NA
47,Red,Los Catios,No,None,NA
48,Red,Los Catios,No,None,NA
49,Red,Los Catios,No,None,NA
50,Red,Los Catios,No,None,NA
51,Red,Los Catios,No,None,NA
52,Red,Los Catios,No,None,NA
53,Red,Los Catios,No,None,NA
54,Red,Los Catios,No,None,NA
55,Red,Los Catios,No,None,NA
56,Red,Los Catios,No,None,NA
57,Red,Los Catios,No,None,NA
58,Red,Los Catios,No,None,NA
59,Red,Los Catios,No,None,NA
60,Red,Los Catios,No,None,NA
61,Red,Los Catios,No,None,NA
62,Red,Los Catios,No,None,NA
63,Red,Los Catios,No,None,NA
64,Red,Los Catios,No,None,NA
65,Red,Los Catios,No,None,NA
66,Red,Los Catios,No,None,NA
67,Red,Los Catios,No,None,NA
68,Red,Los Catios,No,None,NA
69,Red,Los Catios,No,None,NA
70,Red,Los Catios,No,None,NA
71,Red,Los Catios,No,None,NA
72,Red,Los Catios,No,None,NA
73,Red,Los Catios,No,None,NA
74,Red,Los Catios,No,None,NA
75,Red,Los Catios,No,None,NA
76,Red,Los Catios,No,None,NA
77,Red,Los Catios,No,None,NA
78,Red,Los Catios,No,None,NA
79,Red,Los Catios,No,None,NA
80,Red,Los Catios,No,None,NA
81,Red,Los Catios,No,None,NA
82,Red,Los Catios,No,None,NA
83,Red,Los Catios,No,None,NA
84,Red,Los Catios,No,None,NA
85,Red,Los Catios,No,None,NA
86,Red,Los Catios,No,None,NA
87,Red,Los Catios,No,None,NA
88,Red,Los Catios,No,None,NA
89,Red,Los Catios,No,None,NA
90,Red,Los Catios,No,None,NA
91,Red,Los Catios,No,None,NA
92,Red,Los Catios,No,None,NA
93,Red,Los Catios,No,None,NA
94,Red,Los Catios,No,None,NA
95,Red,Los Catios,No,None,NA
96,Red,Los Catios,No,None,NA
97,Red,Los Catios,No,None,NA
98,Red,Los Catios,No,None,NA
99,Red,Los Catios,No,None,NA
100,Red,Los Catios,No,None,NA
101,Red,Los Catios,No,None,NA
102,Red,Los Catios,No,None,NA
103,Red,Los Catios,No,None,NA
104,Red,Los Catios,No,None,NA
105,Red,Los Catios,No,None,NA
106,Red,Los Catios,No,None,NA
107,Red,Los Catios,No,None,NA
108,Red,Los Catios,No,None,NA
109,Red,Los Catios,No,None,NA
110,Red,Los Catios,No,None,NA
111,Red,Los Catios,No,None,NA
112,Red,Los Catios,No,None,NA
113,Red,Los Catios,No,None,NA
114,Red,Los Catios,No,None,NA
115,Red,Los Catios,No,None,NA
116,Red,Los Catios,No,None,NA
117,Red,Los Catios,No,None,NA
118,Red,Los Catios,No,None,NA
119,Red,Los Catios,No,None,NA
120,Red,Los Catios,No,None,NA
121,Red,Los Catios,No,None,NA
122,Red,Los Catios,No,None,NA
123,Red,Los Catios,No,None,NA
124,Red,Los Catios,No,None,NA
125,Red,Los Catios,No,None,NA
126,Red,Los Catios,No,None,NA
127,Red,Los Catios,No,None,NA
128,Red,Los Catios,No,None,NA
129,Red,Los Catios,No,None,NA
130,Red,Los Catios,No,None,NA
131,Red,Los Catios,No,None,NA
132,Red,Los Catios,No,None,NA
133,Red,Los Catios,No,None,NA
134,Red,Los Catios,No,None,NA
135,Red,Los Catios,No,None,NA
136,Red,Los Catios,No,None,NA
137,Red,Los Catios,No,None,NA
138,Red,Los Catios,No,None,NA
139,Red,Los Catios,No,None,NA
140,Red,Los Catios,No,None,NA
141,Red,Los Catios,No,None,NA
142,Red,Los Catios,No,None,NA
143,Red,Los Catios,No,None,NA
144,Red,Los Catios,No,None,NA
145,Red,Los Catios,No,None,NA
146,Red,Los Catios,No,None,NA
147,Red,Los Catios,No,None,NA
148,Red,Los Catios,No,None,NA
149,Red,Los Catios,No,None,NA
150,Red,Los Catios,No,None,NA
151,Red,Los Catios,No,None,NA
152,Red,Los Catios,No,None,NA
153,Red,Los Catios,No,None,NA
154,Red,Los Catios,No,None,NA
155,Red,Los Catios,No,None,NA
156,Red,Los Catios,No,None,NA
157,Red,Los Catios,No,None,NA
158,Red,Los Catios,No,None,NA
159,Red,Los Catios,No,None,NA
160,Red,Los Catios,No,None,NA
161,Red,Los Catios,No,None,NA
162,Red,Los Catios,No,None,NA
163,Red,Los Catios,No,None,NA
164,Red,Los Catios,No,None,NA
165,Red,Los Catios,No,None,NA
166,Red,Los Catios,No,None,NA
167,Red,Los Catios,No,None,NA
168,Red,Los Catios,No,None,NA
169,Red,Los Catios,Attacked,Artropodo,Seguro
170,Red,Los Catios,Attacked,Artropodo,Seguro
171,Red,Los Catios,Attacked,Artropodo,Seguro
172,Red,Los Catios,Attacked,Artropodo,Seguro
173,Red,Los Catios,Attacked,Artropodo,Seguro
174,Red,Los Catios,Attacked,Artropodo,Seguro
175,Red,Los Catios,Attacked,Ave,Seguro
176,Red,Los Catios,Attacked,Ave,Seguro
177,Red,Los Catios,Attacked,Mamifero,Seguro
178,Red,Los Catios,Attacked,Ave,Tentativo
179,Red,Los Catios,Attacked,Ave,Seguro
180,Red,Los Catios,Attacked,Ave,Seguro
181,Red,Los Catios,Attacked,Mamifero,Seguro
182,Red,Los Catios,Attacked,Mamifero,Seguro
183,Red,Los Catios,Attacked,Ave,Seguro
184,Red,Los Catios,Attacked,Artropodo,Seguro
185,Red,Los Catios,Attacked,Artropodo,Seguro
186,Red,Los Catios,Attacked,Artropodo,Seguro
187,Red,Los Catios,Attacked,Ave,Tentativo
188,Red,Los Catios,Attacked,Mamifero,Seguro
189,Red,Los Catios,Attacked,Artropodo,Seguro
190,Red,Los Catios,Attacked,Ave,Seguro
191,Red,Los Catios,Attacked,Mamifero,Seguro
192,Red,Los Catios,Attacked,Artropodo,Seguro
193,Red,Los Catios,Attacked,Artropodo,Seguro
194,Red,Los Catios,Attacked,Artropodo,Seguro
195,Red,Los Catios,Attacked,Ave,Tentativo
196,Red,Los Catios,Attacked,Artropodo,Seguro
197,Red,Los Catios,Attacked,Artropodo,Seguro
198,Red,Los Catios,Attacked,Mamifero,Seguro
199,Red,Los Catios,Attacked,Ave,Tentativo
200,Red,Los Catios,Attacked,Artropodo,Seguro
201,Red,Los Catios,Attacked,Artropodo,Seguro
202,Red,Los Catios,Attacked,Ave,Seguro
203,Red,Los Catios,Attacked,Artropodo,Seguro
204,Red,Los Catios,Attacked,Artropodo,Seguro
205,Red,Los Catios,Attacked,Artropodo,Seguro
206,Red,Los Catios,Attacked,Artropodo,Seguro
207,Red,Los Catios,Attacked,Mamifero,Seguro
208,Red,Los Catios,Attacked,Mamifero,Seguro
209,Red,Los Catios,Attacked,Mamifero,Seguro
210,Red,Los Catios,Attacked,Artropodo,Seguro
211,Red,Los Catios,Attacked,Artropodo,Seguro
212,Red,Los Catios,Attacked,Ave,Seguro
213,Red,Los Catios,Attacked,Artropodo,Seguro
214,Red,Los Catios,Attacked,Ave,Tentativo
215,Red,Los Catios,Attacked,Ave,Tentativo
216,Red,Los Catios,Attacked,Artropodo,Seguro
217,Red,Los Catios,Attacked,Artropodo,Seguro
218,Red,Los Catios,Attacked,Artropodo,Seguro
219,Red,Los Catios,Attacked,Ave,Tentativo
220,Red,Los Catios,Attacked,Ave,Seguro
221,Red,Los Catios,Attacked,Artropodo,Seguro
222,Red,Los Catios,Attacked,Ave,Seguro
223,Red,Los Catios,Attacked,Ave,Seguro
224,Red,Los Catios,Attacked,Mamifero,Seguro
225,Red,Los Catios,Attacked,Ave,Seguro
226,Red,Los Catios,Attacked,Ave,Seguro
227,Red,Los Catios,Attacked,Mamifero,Seguro
228,Red,Los Catios,Attacked,Ave,Seguro
229,Red,Los Catios,Attacked,Artropodo,Seguro
230,Red,Los Catios,Attacked,Artropodo,Seguro
231,Red,Los Catios,Attacked,Ave,Seguro
232,Red,Los Catios,Attacked,Artropodo,Seguro
233,Red,Los Catios,Attacked,Mamifero,Seguro
234,Red,Los Catios,Attacked,Ave,Seguro
235,Red,Los Catios,Attacked,Ave,Seguro
236,Red,Los Catios,Attacked,Ave,Seguro
237,Red,Los Catios,Attacked,Artropodo,Seguro
238,Red,Los Catios,Attacked,Artropodo,Seguro
239,Red,Los Catios,Attacked,Artropodo,Seguro
240,Red,Los Catios,Attacked,Artropodo,Seguro
241,Red,Los Catios,Attacked,Artropodo,Seguro
242,Red,Los Catios,Attacked,Mamifero,Seguro
243,Red,Los Catios,Attacked,Artropodo,Seguro
244,Red,Los Catios,Attacked,Artropodo,Seguro
245,Red,Los Catios,Attacked,Artropodo,Seguro
246,Red,Los Catios,Attacked,Ave,Seguro
247,Red,Los Catios,Attacked,Ave,Seguro
248,Red,Los Catios,Attacked,Ave,Seguro
249,Red,Los Catios,Attacked,Artropodo,Seguro
250,Red,Los Catios,Attacked,Artropodo,Seguro
251,Yellow,Los Catios,Attacked,Artropodo,Seguro
252,Yellow,Los Catios,Attacked,Artropodo,Seguro
253,Yellow,Los Catios,Attacked,Artropodo,Seguro
254,Yellow,Los Catios,Attacked,Artropodo,Seguro
255,Yellow,Los Catios,Attacked,Artropodo,Seguro
256,Yellow,Los Catios,Attacked,Artropodo,Seguro
257,Yellow,Los Catios,Attacked,Artropodo,Seguro
258,Yellow,Los Catios,Attacked,Artropodo,Seguro
259,Yellow,Los Catios,Attacked,Artropodo,Seguro
260,Yellow,Los Catios,Attacked,Artropodo,Seguro
261,Yellow,Los Catios,Attacked,Artropodo,Seguro
262,Yellow,Los Catios,Attacked,Artropodo,Seguro
263,Yellow,Los Catios,Attacked,Artropodo,Seguro
264,Yellow,Los Catios,Attacked,Artropodo,Seguro
265,Yellow,Los Catios,Attacked,Artropodo,Seguro
266,Yellow,Los Catios,Attacked,Artropodo,Seguro
267,Yellow,Los Catios,Attacked,Artropodo,Seguro
268,Yellow,Los Catios,Attacked,Artropodo,Seguro
269,Yellow,Los Catios,Attacked,Artropodo,Seguro
270,Yellow,Los Catios,Attacked,Artropodo,Seguro
271,Yellow,Los Catios,Attacked,Artropodo,Seguro
272,Yellow,Los Catios,Attacked,Artropodo,Seguro
273,Yellow,Los Catios,Attacked,Artropodo,Seguro
274,Yellow,Los Catios,Attacked,Artropodo,Seguro
275,Yellow,Los Catios,Attacked,Artropodo,Seguro
276,Yellow,Los Catios,Attacked,Artropodo,Seguro
277,Yellow,Los Catios,Attacked,Artropodo,Seguro
278,Yellow,Los Catios,Attacked,Artropodo,Seguro
279,Yellow,Los Catios,Attacked,Artropodo,Seguro
280,Yellow,Los Catios,Attacked,Artropodo,Seguro
281,Yellow,Los Catios,Attacked,Artropodo,Seguro
282,Yellow,Los Catios,Attacked,Artropodo,Seguro
283,Yellow,Los Catios,Attacked,Artropodo,Seguro
284,Yellow,Los Catios,Attacked,Artropodo,Seguro
285,Yellow,Los Catios,Attacked,Artropodo,Seguro
286,Yellow,Los Catios,Attacked,Artropodo,Seguro
287,Yellow,Los Catios,Attacked,Artropodo,Seguro
288,Yellow,Los Catios,Attacked,Artropodo,Seguro
289,Yellow,Los Catios,Attacked,Ave,Seguro
290,Yellow,Los Catios,Attacked,Ave,Seguro
291,Yellow,Los Catios,Attacked,Ave,Seguro
292,Yellow,Los Catios,Attacked,Ave,Seguro
293,Yellow,Los Catios,Attacked,Ave,Seguro
294,Yellow,Los Catios,Attacked,Ave,Seguro
295,Yellow,Los Catios,Attacked,Ave,Seguro
296,Yellow,Los Catios,Attacked,Ave,Seguro
297,Yellow,Los Catios,Attacked,Ave,Seguro
298,Yellow,Los Catios,Attacked,Ave,Seguro
299,Yellow,Los Catios,Attacked,Ave,Tentativo
300,Yellow,Los Catios,Attacked,Ave,Seguro
301,Yellow,Los Catios,Attacked,Ave,Seguro
302,Yellow,Los Catios,Attacked,Ave,Seguro
303,Yellow,Los Catios,Attacked,Ave,Seguro
304,Yellow,Los Catios,Attacked,Ave,Seguro
305,Yellow,Los Catios,Attacked,Ave,Seguro
306,Yellow,Los Catios,Attacked,Ave,Seguro
307,Yellow,Los Catios,Attacked,Ave,Seguro
308,Yellow,Los Catios,Attacked,Ave,Seguro
309,Yellow,Los Catios,Attacked,Ave,Seguro
310,Yellow,Los Catios,Attacked,Ave,Seguro
311,Yellow,Los Catios,Attacked,Ave,Seguro
312,Yellow,Los Catios,Attacked,Ave,Seguro
313,Yellow,Los Catios,Attacked,Ave,Seguro
314,Yellow,Los Catios,Attacked,Ave,Seguro
315,Yellow,Los Catios,Attacked,Ave,Seguro
316,Yellow,Los Catios,Attacked,Ave,Seguro
317,Yellow,Los Catios,Attacked,Ave,Seguro
318,Yellow,Los Catios,Attacked,Ave,Seguro
319,Yellow,Los Catios,Attacked,Ave,Seguro
320,Yellow,Los Catios,Attacked,Ave,Seguro
321,Yellow,Los Catios,Attacked,Ave,Tentativo
322,Yellow,Los Catios,Attacked,Mamifero,Seguro
323,Yellow,Los Catios,Attacked,Mamifero,Seguro
324,Yellow,Los Catios,Attacked,Mamifero,Seguro
325,Yellow,Los Catios,Attacked,Mamifero,Seguro
326,Yellow,Los Catios,Attacked,Mamifero,Seguro
327,Yellow,Los Catios,Attacked,Mamifero,Seguro
328,Yellow,Los Catios,Attacked,Mamifero,Seguro
329,Yellow,Los Catios,Attacked,Mamifero,Seguro
330,Yellow,Los Catios,Attacked,Mamifero,Seguro
331,Yellow,Los Catios,Attacked,Mamifero,Seguro
332,Yellow,Los Catios,Attacked,Mamifero,Seguro
333,Yellow,Los Catios,Attacked,Mamifero,Seguro
334,Yellow,Los Catios,Attacked,Mamifero,Seguro
335,Yellow,Los Catios,Attacked,Mamifero,Seguro
336,Yellow,Los Catios,Attacked,Mamifero,Seguro
337,Yellow,Los Catios,Attacked,Mamifero,Seguro
338,Yellow,Los Catios,No,None,NA
339,Yellow,Los Catios,No,None,NA
340,Yellow,Los Catios,No,None,NA
341,Yellow,Los Catios,No,None,NA
342,Yellow,Los Catios,No,None,NA
343,Yellow,Los Catios,No,None,NA
344,Yellow,Los Catios,No,None,NA
345,Yellow,Los Catios,No,None,NA
346,Yellow,Los Catios,No,None,NA
347,Yellow,Los Catios,No,None,NA
348,Yellow,Los Catios,No,None,NA
349,Yellow,Los Catios,No,None,NA
350,Yellow,Los Catios,No,None,NA
351,Yellow,Los Catios,No,None,NA
352,Yellow,Los Catios,No,None,NA
353,Yellow,Los Catios,No,None,NA
354,Yellow,Los Catios,No,None,NA
355,Yellow,Los Catios,No,None,NA
356,Yellow,Los Catios,No,None,NA
357,Yellow,Los Catios,No,None,NA
358,Yellow,Los Catios,No,None,NA
359,Yellow,Los Catios,No,None,NA
360,Yellow,Los Catios,No,None,NA
361,Yellow,Los Catios,No,None,NA
362,Yellow,Los Catios,No,None,NA
363,Yellow,Los Catios,No,None,NA
364,Yellow,Los Catios,No,None,NA
365,Yellow,Los Catios,No,None,NA
366,Yellow,Los Catios,No,None,NA
367,Yellow,Los Catios,No,None,NA
368,Yellow,Los Catios,No,None,NA
369,Yellow,Los Catios,No,None,NA
370,Yellow,Los Catios,No,None,NA
371,Yellow,Los Catios,No,None,NA
372,Yellow,Los Catios,No,None,NA
373,Yellow,Los Catios,No,None,NA
374,Yellow,Los Catios,No,None,NA
375,Yellow,Los Catios,No,None,NA
376,Yellow,Los Catios,No,None,NA
377,Yellow,Los Catios,No,None,NA
378,Yellow,Los Catios,No,None,NA
379,Yellow,Los Catios,No,None,NA
380,Yellow,Los Catios,No,None,NA
381,Yellow,Los Catios,No,None,NA
382,Yellow,Los Catios,No,None,NA
383,Yellow,Los Catios,No,None,NA
384,Yellow,Los Catios,No,None,NA
385,Yellow,Los Catios,No,None,NA
386,Yellow,Los Catios,No,None,NA
387,Yellow,Los Catios,No,None,NA
388,Yellow,Los Catios,No,None,NA
389,Yellow,Los Catios,No,None,NA
390,Yellow,Los Catios,No,None,NA
391,Yellow,Los Catios,No,None,NA
392,Yellow,Los Catios,No,None,NA
393,Yellow,Los Catios,No,None,NA
394,Yellow,Los Catios,No,None,NA
395,Yellow,Los Catios,No,None,NA
396,Yellow,Los Catios,No,None,NA
397,Yellow,Los Catios,No,None,NA
398,Yellow,Los Catios,No,None,NA
399,Yellow,Los Catios,No,None,NA
400,Yellow,Los Catios,No,None,NA
401,Yellow,Los Catios,No,None,NA
402,Yellow,Los Catios,No,None,NA
403,Yellow,Los Catios,No,None,NA
404,Yellow,Los Catios,No,None,NA
405,Yellow,Los Catios,No,None,NA
406,Yellow,Los Catios,No,None,NA
407,Yellow,Los Catios,No,None,NA
